fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id,sleeper_id
antonio-williams,RB,15854.0,4040629.0,33359.0,7203
sandro-platzgummer,RB,16206.0,4683485.0,33188.0,7412
mitchell-wilcox,TE,16093.0,3923392.0,33171.0,6894
reid-sinnett,QB,15844.0,3926936.0,33279.0,7159
kyler-murray,QB,14664.0,3917315.0,31833.0,5849
drew-lock,QB,14722.0,3924327.0,31874.0,5854
daniel-jones,QB,14668.0,3917792.0,31838.0,5870
tyree-jackson,TE,14912.0,3916564.0,32415.0,6040
trace-mcsorley,QB,14815.0,3116172.0,32029.0,5974
will-grier,QB,14727.0,3115252.0,31932.0,5903
jarrett-stidham,QB,14770.0,3892775.0,31965.0,6136
brett-rypien,QB,15063.0,3722362.0,32221.0,6037
gardner-minshew,QB,14860.0,4038524.0,32010.0,6011
easton-stick,QB,14853.0,3120590.0,31998.0,6185
david-blough,QB,14967.0,3116188.0,32272.0,6450
david-montgomery,RB,14716.0,4035538.0,31905.0,5892
benjamin-snell,RB,14790.0,4035072.0,31954.0,6156
josh-jacobs,RB,14673.0,4047365.0,31856.0,5850
damien-harris,RB,14712.0,3925347.0,31919.0,5890
trayveon-williams,RB,14818.0,4035222.0,32014.0,6144
miles-sanders,RB,14745.0,4045163.0,31885.0,6151
devin-singletary,RB,14736.0,4040761.0,31906.0,6130
myles-gaskin,RB,14897.0,3886818.0,32066.0,5980
travis-homer,RB,14810.0,4037457.0,32036.0,6012
tony-pollard,RB,14759.0,3916148.0,31960.0,5967
justice-hill,RB,14767.0,4038441.0,31945.0,5995
darrell-henderson,RB,14751.0,4039359.0,31902.0,5916
ryquell-armstead,RB,14859.0,3923397.0,31972.0,6007
ty-johnson,RB,14842.0,3915411.0,32018.0,6039
devine-ozigbo,RB,15146.0,3699935.0,32390.0,6068
qadree-ollison,RB,14828.0,3123944.0,31984.0,6002
nkeal-harry,WR,14662.0,4047839.0,31864.0,5878
dk-metcalf,WR,14706.0,4047650.0,31896.0,5846
aj-brown,WR,14694.0,4047646.0,31883.0,5859
marquise-brown,WR,14661.0,4241372.0,31857.0,5848
jj-arcega-whiteside,WR,14744.0,3931397.0,31889.0,5863
greg-dortch,WR,14935.0,4037235.0,32523.0,5970
terry-mclaurin,WR,14746.0,3121422.0,31908.0,5927
david-sills,WR,14915.0,3871102.0,32418.0,6154
parris-campbell,WR,14692.0,3121410.0,31891.0,5880
mecole-hardman,WR,14725.0,4035004.0,31888.0,5917
tyron-johnson,WR,15053.0,3894912.0,32511.0,6063
liljordan-humphrey,WR,15148.0,4039057.0,32494.0,5938
andy-isabella,WR,14717.0,3914328.0,31894.0,5915
darius-slayton,WR,14833.0,3916945.0,32003.0,6149
hunter-renfrow,WR,14836.0,3135321.0,31981.0,5955
keesean-johnson,WR,14823.0,3124537.0,32006.0,5962
miles-boykin,WR,14709.0,3932423.0,31925.0,5965
preston-williams,WR,14919.0,3915399.0,32447.0,6148
jakobi-meyers,WR,14949.0,3916433.0,32231.0,5947
antoine-wesley,WR,15326.0,4043161.0,32317.0,6165
stanley-morgan-jr,WR,14958.0,3699902.0,32469.0,6069
