player_id,name,pos,fleaflicker_id,espn_id,yahoo_id,sleeper_id,team,actual
1459,Chris Manhertz,TE,11114,2531358,28365,3048,DEN,0.0
797,Andrew Beck,TE,14951,3125107,32225,6323,HOU,0.0
269,Teagan Quitoriano,TE,16959,4374045,34126,8227,HOU,0.0
420,Brevin Jordan,TE,16420,4362504,33535,7568,HOU,9.3
264,Daniel Bellinger,TE,16932,4361516,34068,8225,NYG,1.8
434,John Bates,TE,16360,4048228,33512,7716,WAS,3.2
259,Cole Turner,TE,16988,4361438,34105,8214,WAS,7.5
271,Andrew Ogletree,TE,16951,4722908,34148,8489,IND,2.1
2150,Greg Zuerlein,PK,8608,14993,25881,1266,NYJ,6.2
1837,Cairo Santos,PK,10888,17427,28227,2020,CHI,3.1
1200,Harrison Butker,PK,13124,3055899,30346,4227,KC,12.9
1839,Brandon McManus,PK,9754,16339,27120,1433,JAX,7.4
3130,Matt Prater,PK,4221,11122,8565,17,ARI,15.4
864,Joey Slye,PK,15366,3124084,32384,6528,WAS,5.1000000000000005
2210,Justin Tucker,PK,8663,15683,26534,1264,BAL,4.0
601,Tyler Bass,PK,15626,3917232,32858,7042,BUF,16.200000000000003
1871,Jason Myers,PK,11124,2473037,28378,2747,SEA,20.7
872,Chase McLaughlin,PK,15412,3150744,32417,6650,TB,3.3000000000000003
982,Eddy Pineiro,PK,13986,4034949,31482,5189,CAR,9.1
1460,Wil Lutz,PK,12611,2985659,29754,3678,DEN,7.6000000000000005
1188,Jake Elliott,PK,13035,3050478,30266,4195,PHI,12.0
776,Matt Gay,PK,14848,4249087,31977,6083,IND,25.400000000000002
436,Riley Patterson,PK,16587,4243371,33781,7922,DET,8.100000000000001
1228,Younghoe Koo,PK,13324,3049899,30426,4666,ATL,4.2
1999,Dustin Hopkins,PK,9416,15965,26800,1348,CLE,13.0
1830,Chris Boswell,PK,10779,17372,28188,1945,PIT,16.200000000000003
2713,Graham Gano,PK,6304,12460,9526,503,NYG,10.100000000000001
1276,Brett Maher,PK,10038,16486,27369,4958,LAR,10.5
981,Daniel Carlson,PK,13947,3051909,31137,5095,LV,3.6
1003,Jason Sanders,PK,13977,3124679,31199,5119,MIA,10.0
435,Evan McPherson,PK,16457,4360234,33537,7839,CIN,18.400000000000002
1394,Ka'imi Fairbairn,PK,12347,2971573,29792,3451,HOU,12.700000000000001
1035,Greg Joseph,PK,14337,3975763,31538,5272,MIN,5.300000000000001
2939,Nick Folk,PK,4780,10621,8432,650,TEN,4.4
5156,CHI,DST,2333,-16003,100003,CHI,CHI,1.0
5151,ARI,DST,2328,-16022,100022,ARI,ARI,8.0
5159,DAL,DST,2336,-16006,100006,DAL,DAL,3.0
5174,NYG,DST,2348,-16019,100019,NYG,NYG,-1.0
5172,NE,DST,2346,-16017,100017,NE,NE,9.0
5166,KC,DST,2343,-16012,100012,KC,KC,11.0
5163,HOU,DST,2340,-16034,100034,HOU,HOU,11.0
5154,BUF,DST,2331,-16002,100002,BUF,BUF,32.0
5162,GB,DST,2339,-16009,100009,GB,GB,8.0
5158,CLE,DST,2335,-16005,100005,CLE,CLE,12.0
5181,TEN,DST,2358,-16010,100010,TEN,TEN,6.0
5153,BAL,DST,2330,-16033,100033,BAL,BAL,8.0
5171,MIN,DST,2345,-16016,100016,MIN,MIN,4.0
5178,SEA,DST,2354,-16026,100026,SEA,SEA,4.0
5157,CIN,DST,2334,-16004,100004,CIN,CIN,14.0
5170,MIA,DST,2344,-16015,100015,MIA,MIA,14.0
5176,PHI,DST,2351,-16021,100021,PHI,PHI,12.0
5168,LAR,DST,2356,-16014,100014,LAR,LAR,8.0
5155,CAR,DST,2332,-16029,100029,CAR,CAR,1.0
5164,IND,DST,2341,-16011,100011,IND,IND,12.0
5167,LAC,DST,2353,-16024,100024,LAC,LAC,9.0
5175,NYJ,DST,2349,-16020,100020,NYJ,NYJ,4.0
5173,NO,DST,2347,-16018,100018,NO,NO,13.0
5180,TB,DST,2357,-16027,100027,TB,TB,6.0
5165,JAX,DST,2342,-16030,100030,JAX,JAX,3.0
5182,WAS,DST,2359,-16028,100028,WAS,WAS,-1.0
5160,DEN,DST,2337,-16007,100007,DEN,DEN,-3.0
5161,DET,DST,2338,-16008,100008,DET,DET,16.0
5177,PIT,DST,2352,-16023,100023,PIT,PIT,14.0
5179,SF,DST,2355,-16025,100025,SF,SF,8.0
5152,ATL,DST,2329,-16001,100001,ATL,ATL,3.0
5169,LV,DST,2350,-16013,100013,LV,LV,2.0
